site,azimuth_a,azimuth_b,n_kp_a,n_kp_b,n_good,n_inliers,dcx,h_scale,s_area,d_area
pyronear-sdis-12_pouncho-agast,250,300,2000,2000,1288,1171,-0.0,1.0,0.8834,0.8835
pyronear-sdis-12_pouncho-agast,0,337,2000,2000,427,399,-0.0025,0.9992,0.8885,0.884
pyronear-sdis-12_pouncho-agast,112,150,1310,2000,307,295,-0.0054,1.0009,0.7186,0.7184
pyronear-sdis-12_pouncho-agast,50,70,2000,2000,305,272,0.1847,0.9368,0.6261,0.6112
pyronear-sdis-07_brison,110,127,1270,2000,310,268,-0.0031,0.9822,0.3679,0.3751
pyronear-sdis-12_pouncho-agast,218,254,2001,2001,271,265,-0.0057,0.9775,0.6743,0.6395
pyronear-sdis-77_nemours,300,340,2000,2000,232,221,-0.0764,1.04,0.3505,0.3497
pyronear-sdis-12_pouncho-agast,300,346,2000,2000,252,220,0.2555,0.9204,0.3211,0.3089
pyronear-sdis-12_pouncho-agast,250,346,2000,2000,245,202,0.2489,0.9126,0.2857,0.2698
pyronear-sis-67_haguenau,267,350,2000,2000,235,183,0.0181,0.9941,0.3506,0.3522
pyronear-sis-67_bischwiller,160,250,2000,2000,186,162,-0.0337,1.0187,0.418,0.4146
pyronear-sdis-77_moret-sur-loing,90,350,393,287,177,161,0.0002,0.9994,0.5752,0.5747
pyronear-sis-67_bischwiller,12,150,2000,2000,185,156,-0.0263,1.007,0.5214,0.5225
pyronear-sdis-12_pouncho-agast,136,150,2000,2000,159,148,-0.0024,1.0059,0.7244,0.7261
pyronear-sdis-07_serre-de-barre,108,300,618,775,154,146,0.0079,0.9776,0.0705,0.0711
pyronear-sdis-12_pouncho-agast,0,357,2000,2000,201,146,-0.2453,1.0226,0.2519,0.2545
pyronear-sis-67_bischwiller,50,277,2000,2000,170,134,0.0133,0.9955,0.8753,0.8744
pyronear-sdis-12_pouncho-agast,337,357,2000,2000,141,112,-0.235,1.0196,0.2278,0.2292
pyronear-sis-67_bischwiller,254,350,2000,2000,164,110,-0.0343,1.0148,0.3467,0.3405
pyronear-sdis-12_pouncho-agast,112,136,1310,2000,113,106,-0.0036,0.9981,0.6874,0.6837
pyronear-sdis-12_pouncho-agast,0,300,2000,2000,126,99,-0.2542,1.0913,0.2843,0.2781
pyronear-sdis-12_pouncho-agast,0,250,2000,2000,124,92,-0.2542,1.0863,0.2791,0.2735
pyronear-sdis-12_pouncho-agast,337,346,2000,2000,121,90,0.0022,1.001,0.6647,0.6687
pyronear-sdis-12_pouncho-agast,0,350,2000,2000,129,81,-0.2512,1.0916,0.2106,0.1961
pyronear-sdis-12_pouncho-agast,0,346,2000,2000,108,77,-0.0009,0.9977,0.3432,0.3464
pyronear-sdis-12_pouncho-agast,200,213,2000,2000,101,71,-0.0178,0.8991,0.066,0.0691
pyronear-sis-67_haguenau,125,200,2000,2000,82,71,0.0193,0.9968,0.4293,0.4284
pyronear-sis-67_haguenau,79,150,2001,2000,90,69,-0.0003,0.994,0.5202,0.5219
pyronear-sis-67_bischwiller,207,300,2000,2000,96,66,-0.0306,1.0071,0.4591,0.447
pyronear-sdis-12_pouncho-agast,300,337,2000,2000,82,58,0.2511,0.9369,0.2627,0.2626
pyronear-sis-67_bischwiller,113,200,2000,2000,88,57,-0.0187,1.009,0.7465,0.7502
pyronear-sdis-77_nemours,150,194,2000,2000,67,54,-0.116,1.0729,0.1479,0.1394
pyronear-sdis-12_pouncho-agast,250,337,2000,2000,74,52,0.2509,0.9301,0.3238,0.3101
pyronear-sdis-12_pouncho-agast,64,246,2000,831,96,47,0.0097,1.0454,0.1419,0.1364
pyronear-sdis-07_serre-de-barre,55,250,2001,342,56,44,0.0045,0.9165,0.0217,0.0216
pyronear-force-06_cabanelle,291,327,1735,2001,50,34,0.0019,0.9938,0.3151,0.3197
pyronear-sdis-77_nemours,200,246,1392,369,53,33,-0.0736,1.0454,0.3091,0.3089
pyronear-sdis-12_pouncho-agast,337,350,2000,2000,52,31,-0.245,1.0619,0.2077,0.2048
pyronear-sdis-12_pouncho-agast,300,350,2000,2000,50,27,-0.0002,1.0023,0.4991,0.4989
pyronear-sdis-12_pouncho-agast,350,357,2000,2000,45,27,0.0167,0.9375,0.1894,0.196
pyronear-sdis-12_pouncho-agast,250,350,2000,2000,50,23,-0.0001,1.0027,0.4983,0.498
pyronear-sdis-12_pouncho-agast,64,70,2000,2000,44,22,-0.2753,1.1646,0.237,0.2552
pyronear-sdis-12_pouncho-agast,250,357,2000,2000,34,21,0.0175,0.9053,0.1317,0.1366
pyronear-sdis-12_pouncho-agast,300,357,2000,2000,38,20,0.0177,0.9339,0.1763,0.1818
pyronear-sdis-77_nemours,250,291,2000,2000,25,20,-0.0874,1.0408,0.2294,0.2258
pyronear-sdis-07_brison,20,39,2001,2000,25,19,-0.0003,0.9954,0.5581,0.5587
pyronear-sdis-77_croix-augas,212,300,392,358,24,18,0.1982,0.9595,0.108,0.1084
pyronear-sdis-77_videlles,50,300,1081,956,44,18,-0.3573,1.3728,0.0533,0.0549
pyronear-sdis-12_pouncho-agast,28,30,2000,569,34,16,-0.0013,0.9906,0.4231,0.4238
pyronear-sdis-12_pouncho-agast,70,246,2000,831,50,16,0.2788,0.8787,0.147,0.1112
pyronear-sdis-77_croix-augas,100,310,1172,467,21,15,0.2082,0.6817,0.0371,0.0414
pyronear-sdis-12_pouncho-agast,50,64,2000,2000,28,14,0.4553,0.8416,0.1091,0.1066
pyronear-sdis-12_pouncho-agast,346,357,2000,2000,29,13,-0.2363,1.0578,0.065,0.0698
pyronear-sdis-77_croix-augas,30,100,2002,1172,14,10,0.0232,0.9506,0.2551,0.2717
